distance,mass,airframe,operator,time_slot,wind,route,altitude,landing_zone,on_time
8.12,2.18,SkyLift,Cautious,Afternoon,N_1.6_0.8,"[1, -1, 0, 0, -1, 1, 1, -1, -1]","[19, 21, 12, 10, 12, 15]",LZ2,1
19.06,2.0,SkyLift,Cautious,Afternoon,W_6.2_1.0,"[1, 0, -1, 1, 0, 1]","[22, 13, 13, 24, 15]",LZ3,0
14.91,1.29,FalconX,Fast,Morning,S_5.6_3.6,"[-1, 0, -1, 0, -1, -1, -1]","[22, 10, 12, 11, 22, 16, 11, 13]",LZ4,1
12.37,3.23,AeroX,Balanced,Evening,N_9.1_3.9,"[1, -1, 1, 0, 1, 1, 1, 1, 1]","[24, 20, 16, 19, 19, 23, 11, 13]",LZ3,0
3.96,2.64,AeroX,Balanced,Morning,S_8.1_0.4,"[0, 0, 0, 0, 0, -1]","[22, 18, 14, 21, 16, 19, 22]",LZ4,1
3.96,4.4,NanoFly,Balanced,Evening,W_9.2_5.0,"[0, 0, -1, 0, 1]","[24, 23, 15, 17, 22, 16, 19, 19]",LZ3,1
2.1,0.64,FalconX,Balanced,Evening,E_4.7_2.2,"[-1, 0, 1, -1, 1, -1, -1]","[23, 18, 20, 23, 18, 23, 13, 13]",LZ4,1
17.46,3.4,NanoFly,Fast,Evening,W_7.9_2.9,"[0, -1, 1, 1, 1, -1, 0]","[18, 15, 12, 14, 21, 19, 21, 19]",LZ1,0
12.42,3.93,SkyLift,Fast,Afternoon,W_0.5_3.0,"[1, -1, 0, -1, 0, -1, 0]","[21, 13, 23, 14, 17, 17, 22, 15]",LZ2,1
14.45,3.92,AeroX,Fast,Morning,N_2.9_1.7,"[0, 1, 1, 0, -1]","[21, 17, 15, 12, 18, 20, 17, 13, 14]",LZ4,0
1.39,4.49,NanoFly,Cautious,Afternoon,N_6.4_2.7,"[0, -1, 1, 0, 1, -1, -1]","[10, 16, 22, 14, 22, 18, 23, 20]",LZ4,1
19.43,3.78,NanoFly,Cautious,Morning,W_7.6_2.9,"[-1, 0, 1, 1, 0, -1, 1, 1, 0]","[24, 19, 11, 18, 24, 19]",LZ1,0
16.82,4.68,AeroX,Cautious,Evening,N_5.7_3.8,"[0, 1, -1, -1, 0, -1, 1, 1, 1]","[13, 16, 18, 12, 11, 10, 11, 22, 17]",LZ3,0
5.03,2.0,SkyLift,Fast,Afternoon,W_4.8_3.3,"[-1, 1, 0, 1, 0, 1, 0, 0, -1]","[19, 17, 14, 15, 16, 13, 16]",LZ4,1
4.45,2.76,NanoFly,Cautious,Afternoon,W_2.3_2.2,"[-1, 1, 0, 0, 1, 1]","[22, 16, 18, 12, 14, 14]",LZ1,1
4.48,0.56,NanoFly,Balanced,Afternoon,S_1.7_1.0,"[0, -1, -1, 0, 0, 1]","[17, 15, 22, 17, 19]",LZ3,1
